molecule_chembl_id,canonical_smiles,standard_value,bioactivity
CHEMBL3785703,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)COc2ccccc21,1.6,active
CHEMBL3786162,O=C(N[C@H]1COc2ccccc2NC1=O)c1cccc(Oc2ccccc2)c1,7.9,active
CHEMBL3786293,O=C(N[C@H]1COc2ccccc2NC1=O)c1cc(Cc2ccccc2)on1,16.0,active
CHEMBL370438,CN1C(=O)N[C@H](Cc2c[nH]c3c(Cl)cccc23)C1=O,200.0,active
CHEMBL3109202,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cccc4c(N)nccc34)cc2)no1,25.0,active
CHEMBL3785703,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)COc2ccccc21,10.0,active
CHEMBL3787216,O=C(N[C@@H]1COc2ccccc2NC1=O)c1cc(Cc2ccccc2)on1,10000.0,inactive
CHEMBL3786778,CCCCCc1cc(C(=O)N[C@H]2COc3ccccc3NC2=O)n[nH]1,320.0,active
CHEMBL3786162,O=C(N[C@H]1COc2ccccc2NC1=O)c1cccc(Oc2ccccc2)c1,40.0,active
CHEMBL3786293,O=C(N[C@H]1COc2ccccc2NC1=O)c1cc(Cc2ccccc2)on1,32.0,active
CHEMBL370438,CN1C(=O)N[C@H](Cc2c[nH]c3c(Cl)cccc23)C1=O,630.0,active
CHEMBL195008,CN1C(=O)C(Cc2c[nH]c3ccccc23)NC1=S,182.0,active
CHEMBL4092421,CCC(C)(C)C(=O)N(O)Cc1ccccc1,13.0,active
CHEMBL195008,CN1C(=O)C(Cc2c[nH]c3ccccc23)NC1=S,760.0,active
CHEMBL4091956,CN1C(=O)[C@@H](NC(=O)c2cc(CN3CCCCC3)on2)COc2ccccc21,10000.0,inactive
CHEMBL4071135,CN1C(=O)[C@@H](NC(=O)c2cc(CC3CCCCC3)on2)COc2ccccc21,501.0,active
CHEMBL4084200,CC(C)Cc1cc(C(=O)N[C@H]2COc3ccccc3N(C)C2=O)no1,6310.0,intermediate
CHEMBL4062496,CCCCCc1cc(C(=O)N[C@H]2COc3ccccc3N(C)C2=O)no1,126.0,active
CHEMBL4091956,CN1C(=O)[C@@H](NC(=O)c2cc(CN3CCCCC3)on2)COc2ccccc21,10000.0,inactive
CHEMBL4071135,CN1C(=O)[C@@H](NC(=O)c2cc(CC3CCCCC3)on2)COc2ccccc21,251.0,active
CHEMBL4084200,CC(C)Cc1cc(C(=O)N[C@H]2COc3ccccc3N(C)C2=O)no1,1600.0,intermediate
CHEMBL4062496,CCCCCc1cc(C(=O)N[C@H]2COc3ccccc3N(C)C2=O)no1,100.0,active
CHEMBL4061414,Cc1cc(C(=O)N[C@H]2COc3ccccc3N(C)C2=O)no1,12600.0,inactive
CHEMBL4068954,CC(=O)Nc1ccc2c(c1)N(C)C(=O)[C@@H](NC(=O)c1cc(Cc3ccccc3)on1)CO2,0.32,active
CHEMBL4069959,CN1C[C@H](NC(=O)c2cc(Cc3ccccc3)on2)C(=O)N(C)c2ccccc21,5.0,active
CHEMBL3786078,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)CNc2ccccc21,0.79,active
CHEMBL3786997,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)CCc2ccccc21,0.2,active
CHEMBL3785745,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)CSc2ccccc21,0.063,active
CHEMBL3786293,O=C(N[C@H]1COc2ccccc2NC1=O)c1cc(Cc2ccccc2)on1,16.0,active
CHEMBL4071864,CN1C(=O)[C@@H](NC(=O)c2n[nH]c(Cc3ccccc3)n2)COc2ccccc21,1.0,active
CHEMBL4098139,CN1C(=O)[C@@H](NC(=O)c2cccc(Cc3ccccc3)c2)COc2ccccc21,251.0,active
CHEMBL4096224,COC(=O)Nc1ccc2c(c1)N(C)C(=O)[C@@H](NC(=O)c1cc(Cc3ccccc3)on1)CO2,0.32,active
CHEMBL4081685,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)COc2ccc(NS(C)(=O)=O)cc21,0.63,active
CHEMBL4099698,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)COc2ccc(-c3cc[nH]n3)cc21,1.0,active
CHEMBL4089558,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)COc2ccc(-c3n[nH]c(=O)o3)cc21,0.5,active
CHEMBL4067372,CN1C(=O)[C@@H](NC(=O)c2ncc(Cc3ccccc3)o2)COc2ccccc21,0.05,active
CHEMBL4069318,CN1C(=O)[C@@H](NC(=O)c2cn(Cc3ccccc3)cn2)COc2ccccc21,0.4,active
